Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,4,103.5,loss of appetite,sores on mouth,lameness,foot and mouth
buffalo,12,104.0,chills,shortness of breath,swelling in extremities,anthrax
buffalo,3,104.9,painless lumps,loss of appetite,depression,lumpy virus
buffalo,11,101.4,sweats,fatigue,chills,anthrax
buffalo,8,101.4,loss of appetite,sores on gums,lameness,foot and mouth
buffalo,9,102.9,chills,fatigue,sweats,anthrax
buffalo,12,102.1,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,4,104.8,loss of appetite,lameness,sores on mouth,foot and mouth
buffalo,4,101.6,depression,loss of appetite,crackling sound,blackleg
buffalo,15,100.1,lameness,crackling sound,swelling in limb,blackleg
buffalo,14,104.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,15,104.9,swelling in abdomen,chills,shortness of breath,anthrax
buffalo,2,101.3,painless lumps,loss of appetite,depression,pneumonia
buffalo,15,104.6,loss of appetite,depression,painless lumps,pneumonia
buffalo,10,101.3,lameness,swelling in muscle,crackling sound,blackleg
buffalo,1,100.8,blisters on hooves,loss of appetite,lameness,foot and mouth
buffalo,2,101.6,depression,lameness,crackling sound,blackleg
buffalo,14,103.1,painless lumps,depression,loss of appetite,pneumonia
buffalo,4,104.5,chills,shortness of breath,swelling in neck,anthrax
buffalo,15,104.1,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
buffalo,9,103.3,difficulty walking,depression,crackling sound,blackleg
buffalo,12,102.0,depression,crackling sound,loss of appetite,blackleg
buffalo,3,102.2,crackling sound,difficulty walking,loss of appetite,blackleg
buffalo,7,100.4,painless lumps,loss of appetite,depression,pneumonia
buffalo,15,103.2,loss of appetite,painless lumps,depression,pneumonia
buffalo,14,102.2,depression,painless lumps,loss of appetite,pneumonia
buffalo,3,100.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,1,102.2,fatigue,sweats,shortness of breath,anthrax
buffalo,14,100.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,6,103.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,2,100.6,painless lumps,depression,loss of appetite,pneumonia
buffalo,14,100.7,loss of appetite,depression,painless lumps,pneumonia
buffalo,14,102.9,depression,loss of appetite,painless lumps,pneumonia
buffalo,3,102.1,chest discomfort,sweats,fatigue,anthrax
buffalo,9,102.3,swelling in limb,depression,loss of appetite,blackleg
buffalo,10,100.8,loss of appetite,painless lumps,depression,lumpy virus
buffalo,10,100.8,loss of appetite,lameness,blisters on mouth,foot and mouth
buffalo,2,102.6,lameness,blisters on hooves,loss of appetite,foot and mouth
buffalo,4,100.9,depression,loss of appetite,painless lumps,pneumonia
buffalo,13,101.8,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,8,103.3,shortness of breath,swelling in abdomen,fatigue,anthrax
buffalo,9,100.1,loss of appetite,sores on tongue,lameness,foot and mouth
buffalo,11,101.2,chest discomfort,fatigue,shortness of breath,anthrax
buffalo,14,104.1,sores on mouth,loss of appetite,lameness,foot and mouth
buffalo,14,100.1,chills,chest discomfort,sweats,anthrax
buffalo,14,101.5,loss of appetite,depression,painless lumps,lumpy virus
buffalo,4,102.7,loss of appetite,painless lumps,depression,lumpy virus
buffalo,3,102.6,painless lumps,depression,loss of appetite,lumpy virus
buffalo,12,101.1,lameness,crackling sound,swelling in limb,blackleg
buffalo,4,105.0,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
buffalo,13,102.8,difficulty walking,crackling sound,loss of appetite,blackleg
buffalo,7,104.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,15,103.4,loss of appetite,painless lumps,depression,pneumonia
buffalo,9,103.2,depression,painless lumps,loss of appetite,pneumonia
buffalo,12,100.3,loss of appetite,difficulty walking,sores on gums,foot and mouth
buffalo,9,103.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,2,101.6,loss of appetite,depression,painless lumps,pneumonia
buffalo,3,101.1,fatigue,swelling in abdomen,sweats,anthrax
buffalo,5,101.6,chest discomfort,shortness of breath,chills,anthrax
buffalo,9,102.4,loss of appetite,crackling sound,lameness,blackleg
buffalo,5,101.2,swelling in extremities,chest discomfort,shortness of breath,anthrax
buffalo,15,101.0,loss of appetite,swelling in limb,crackling sound,blackleg
buffalo,6,102.5,loss of appetite,depression,swelling in limb,blackleg
buffalo,13,101.2,depression,swelling in muscle,difficulty walking,blackleg
buffalo,7,102.2,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,4,100.4,swelling in limb,lameness,depression,blackleg
buffalo,9,101.7,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,8,100.5,sweats,shortness of breath,swelling in extremities,anthrax
buffalo,7,102.3,sweats,swelling in extremities,shortness of breath,anthrax
buffalo,10,104.0,depression,painless lumps,loss of appetite,pneumonia
buffalo,13,103.7,chills,chest discomfort,shortness of breath,anthrax
buffalo,13,101.8,loss of appetite,painless lumps,depression,pneumonia
buffalo,1,102.2,fatigue,chest discomfort,shortness of breath,anthrax
buffalo,9,100.5,chest discomfort,sweats,chills,anthrax
buffalo,7,100.6,chest discomfort,swelling in abdomen,fatigue,anthrax
buffalo,12,104.8,depression,loss of appetite,painless lumps,pneumonia
buffalo,3,103.8,lameness,loss of appetite,blisters on mouth,foot and mouth
buffalo,5,102.9,swelling in abdomen,shortness of breath,chills,anthrax
buffalo,5,103.1,swelling in limb,depression,crackling sound,blackleg
buffalo,6,104.0,lameness,swelling in limb,depression,blackleg
buffalo,9,102.4,chills,sweats,shortness of breath,anthrax
buffalo,14,100.5,chest discomfort,chills,shortness of breath,anthrax
buffalo,5,100.5,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8,101.5,loss of appetite,painless lumps,depression,pneumonia
buffalo,9,102.3,loss of appetite,crackling sound,depression,blackleg
buffalo,12,102.7,crackling sound,lameness,swelling in limb,blackleg
buffalo,9,101.9,crackling sound,depression,loss of appetite,blackleg
buffalo,13,102.8,painless lumps,depression,loss of appetite,pneumonia
buffalo,6,102.0,depression,loss of appetite,painless lumps,pneumonia
buffalo,2,102.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
buffalo,8,100.8,shortness of breath,sweats,swelling in extremities,anthrax
buffalo,10,103.1,loss of appetite,depression,painless lumps,pneumonia
buffalo,1,103.2,difficulty walking,crackling sound,swelling in muscle,blackleg
buffalo,9,102.1,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,9,101.4,loss of appetite,difficulty walking,depression,blackleg
buffalo,10,100.6,difficulty walking,loss of appetite,sores on mouth,foot and mouth
buffalo,9,104.8,crackling sound,lameness,loss of appetite,blackleg
buffalo,1,100.5,sweats,fatigue,shortness of breath,anthrax
buffalo,8,103.1,swelling in neck,chest discomfort,fatigue,anthrax
buffalo,14,101.5,loss of appetite,lameness,swelling in limb,blackleg
buffalo,5,104.1,sweats,fatigue,chest discomfort,anthrax
buffalo,1,101.1,depression,painless lumps,loss of appetite,lumpy virus
buffalo,11,100.4,swelling in muscle,loss of appetite,depression,blackleg
buffalo,10,103.3,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,9,101.8,lameness,loss of appetite,blisters on hooves,foot and mouth
buffalo,6,101.7,painless lumps,depression,loss of appetite,pneumonia
buffalo,14,103.3,fatigue,swelling in neck,chest discomfort,anthrax
buffalo,3,101.9,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,5,104.2,depression,painless lumps,loss of appetite,pneumonia
buffalo,1,101.4,painless lumps,loss of appetite,depression,lumpy virus
buffalo,11,102.0,loss of appetite,sores on gums,difficulty walking,foot and mouth
buffalo,15,103.7,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
buffalo,14,101.7,depression,crackling sound,swelling in limb,blackleg
buffalo,5,101.3,loss of appetite,swelling in muscle,crackling sound,blackleg
buffalo,12,101.5,depression,loss of appetite,painless lumps,pneumonia
buffalo,5,103.5,crackling sound,loss of appetite,swelling in limb,blackleg
buffalo,12,102.7,loss of appetite,depression,crackling sound,blackleg
buffalo,9,100.0,swelling in muscle,crackling sound,depression,blackleg
buffalo,12,104.5,fatigue,chills,chest discomfort,anthrax
buffalo,9,102.5,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,2,101.0,depression,loss of appetite,painless lumps,lumpy virus
buffalo,4,100.2,lameness,swelling in muscle,depression,blackleg
buffalo,13,103.9,painless lumps,loss of appetite,depression,lumpy virus
buffalo,14,102.7,loss of appetite,lameness,depression,blackleg
buffalo,9,102.0,lameness,crackling sound,loss of appetite,blackleg
buffalo,5,103.7,sweats,chest discomfort,fatigue,anthrax
buffalo,5,103.1,depression,loss of appetite,painless lumps,lumpy virus
buffalo,12,101.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,5,101.0,painless lumps,loss of appetite,depression,pneumonia
buffalo,12,103.5,loss of appetite,depression,painless lumps,pneumonia
buffalo,1,101.7,painless lumps,depression,loss of appetite,pneumonia
buffalo,1,100.9,loss of appetite,crackling sound,depression,blackleg
buffalo,1,103.4,painless lumps,loss of appetite,depression,pneumonia
buffalo,12,103.5,lameness,crackling sound,loss of appetite,blackleg
buffalo,11,104.5,chest discomfort,sweats,shortness of breath,anthrax
buffalo,10,100.3,chest discomfort,sweats,chills,anthrax
buffalo,2,104.4,loss of appetite,depression,painless lumps,lumpy virus
buffalo,6,104.8,depression,loss of appetite,painless lumps,pneumonia
buffalo,15,102.4,swelling in muscle,crackling sound,depression,blackleg
buffalo,3,104.5,painless lumps,depression,loss of appetite,pneumonia
buffalo,7,100.3,loss of appetite,painless lumps,depression,lumpy virus
buffalo,6,101.0,chills,shortness of breath,swelling in neck,anthrax
buffalo,7,104.9,swelling in extremities,fatigue,sweats,anthrax
buffalo,7,100.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,15,101.5,depression,crackling sound,loss of appetite,blackleg
buffalo,3,100.4,swelling in abdomen,shortness of breath,chills,anthrax
buffalo,11,101.7,sweats,chest discomfort,shortness of breath,anthrax
buffalo,12,100.2,chest discomfort,chills,sweats,anthrax
buffalo,11,102.1,painless lumps,depression,loss of appetite,lumpy virus
buffalo,5,104.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,11,101.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,7,100.3,chest discomfort,chills,shortness of breath,anthrax
buffalo,11,101.5,loss of appetite,depression,painless lumps,pneumonia
buffalo,7,102.1,chills,chest discomfort,fatigue,anthrax
buffalo,6,104.8,loss of appetite,sores on gums,difficulty walking,foot and mouth
buffalo,2,101.3,crackling sound,swelling in limb,depression,blackleg
buffalo,12,100.6,depression,loss of appetite,painless lumps,pneumonia
buffalo,2,100.0,difficulty walking,loss of appetite,swelling in limb,blackleg
buffalo,6,102.2,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
buffalo,11,102.6,painless lumps,depression,loss of appetite,pneumonia
buffalo,4,100.8,painless lumps,loss of appetite,depression,lumpy virus
buffalo,9,102.3,depression,painless lumps,loss of appetite,lumpy virus
buffalo,6,100.1,crackling sound,depression,lameness,blackleg
buffalo,8,102.1,loss of appetite,painless lumps,depression,lumpy virus
buffalo,11,101.8,loss of appetite,swelling in muscle,depression,blackleg
buffalo,12,103.6,depression,loss of appetite,painless lumps,pneumonia
buffalo,15,100.7,painless lumps,depression,loss of appetite,lumpy virus
buffalo,13,102.0,crackling sound,depression,lameness,blackleg
buffalo,14,102.0,lameness,loss of appetite,swelling in muscle,blackleg
buffalo,1,100.1,painless lumps,loss of appetite,depression,pneumonia
buffalo,9,102.6,chills,sweats,shortness of breath,anthrax
buffalo,10,101.0,shortness of breath,sweats,chills,anthrax
buffalo,5,101.9,loss of appetite,swelling in muscle,lameness,blackleg
buffalo,14,100.1,loss of appetite,sores on gums,lameness,foot and mouth
buffalo,10,103.8,loss of appetite,blisters on gums,difficulty walking,foot and mouth
buffalo,13,101.2,sores on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,13,100.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,5,100.6,swelling in limb,loss of appetite,depression,blackleg
buffalo,15,104.8,sores on mouth,loss of appetite,lameness,foot and mouth
buffalo,11,101.6,sweats,chills,shortness of breath,anthrax
buffalo,2,102.6,chills,fatigue,swelling in abdomen,anthrax
buffalo,1,102.2,crackling sound,depression,loss of appetite,blackleg
buffalo,3,101.9,loss of appetite,lameness,sores on hooves,foot and mouth
buffalo,3,102.3,loss of appetite,depression,painless lumps,pneumonia
buffalo,13,102.7,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,3,101.7,painless lumps,loss of appetite,depression,lumpy virus
buffalo,2,102.6,painless lumps,loss of appetite,depression,lumpy virus
buffalo,11,101.9,loss of appetite,painless lumps,depression,lumpy virus
buffalo,1,104.3,loss of appetite,depression,painless lumps,pneumonia
buffalo,15,103.2,depression,loss of appetite,painless lumps,pneumonia
buffalo,11,103.1,painless lumps,depression,loss of appetite,pneumonia
buffalo,3,102.6,difficulty walking,sores on hooves,loss of appetite,foot and mouth
buffalo,7,100.8,swelling in extremities,chest discomfort,sweats,anthrax
buffalo,13,103.2,depression,loss of appetite,painless lumps,pneumonia
buffalo,15,103.3,swelling in muscle,crackling sound,depression,blackleg
buffalo,9,102.0,depression,painless lumps,loss of appetite,pneumonia
buffalo,3,100.6,shortness of breath,chills,fatigue,anthrax
buffalo,15,102.1,loss of appetite,painless lumps,depression,lumpy virus
buffalo,15,100.7,shortness of breath,swelling in neck,chest discomfort,anthrax
buffalo,5,101.7,sweats,chills,shortness of breath,anthrax
buffalo,14,102.9,swelling in limb,depression,loss of appetite,blackleg
buffalo,2,104.5,swelling in neck,shortness of breath,chills,anthrax
buffalo,6,101.2,lameness,sores on tongue,loss of appetite,foot and mouth
buffalo,10,101.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,6,101.0,depression,painless lumps,loss of appetite,pneumonia
buffalo,12,100.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,14,100.7,crackling sound,lameness,depression,blackleg
buffalo,4,101.1,painless lumps,loss of appetite,depression,pneumonia
buffalo,15,104.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,2,100.4,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,11,103.2,depression,painless lumps,loss of appetite,lumpy virus
buffalo,7,102.7,loss of appetite,depression,painless lumps,pneumonia
buffalo,8,103.2,sores on hooves,lameness,loss of appetite,foot and mouth
buffalo,13,103.4,shortness of breath,fatigue,sweats,anthrax
buffalo,5,101.9,fatigue,swelling in extremities,sweats,anthrax
buffalo,14,101.2,crackling sound,lameness,depression,blackleg
buffalo,10,100.3,sores on hooves,lameness,loss of appetite,foot and mouth
buffalo,11,100.9,painless lumps,loss of appetite,depression,pneumonia
buffalo,9,103.0,crackling sound,loss of appetite,swelling in muscle,blackleg
buffalo,15,102.0,swelling in limb,depression,crackling sound,blackleg
buffalo,8,100.9,depression,painless lumps,loss of appetite,pneumonia
buffalo,13,102.5,chills,sweats,swelling in extremities,anthrax
buffalo,12,102.2,loss of appetite,sores on hooves,difficulty walking,foot and mouth
buffalo,1,101.8,blisters on gums,lameness,loss of appetite,foot and mouth
buffalo,1,103.7,chest discomfort,fatigue,chills,anthrax
buffalo,12,101.7,loss of appetite,depression,painless lumps,pneumonia
buffalo,5,100.8,crackling sound,loss of appetite,difficulty walking,blackleg
buffalo,10,101.3,loss of appetite,sores on hooves,difficulty walking,foot and mouth
buffalo,15,101.8,lameness,loss of appetite,blisters on mouth,foot and mouth
buffalo,11,102.4,loss of appetite,painless lumps,depression,lumpy virus
buffalo,12,104.0,loss of appetite,painless lumps,depression,lumpy virus
buffalo,5,100.2,difficulty walking,loss of appetite,sores on hooves,foot and mouth
buffalo,15,102.1,loss of appetite,depression,painless lumps,pneumonia
buffalo,8,101.4,loss of appetite,swelling in limb,crackling sound,blackleg
buffalo,12,104.8,loss of appetite,lameness,blisters on hooves,foot and mouth
buffalo,7,104.1,lameness,swelling in muscle,loss of appetite,blackleg
buffalo,3,101.4,chest discomfort,fatigue,chills,anthrax
buffalo,12,102.3,loss of appetite,painless lumps,depression,pneumonia
buffalo,10,103.2,lameness,blisters on hooves,loss of appetite,foot and mouth
