Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
goat,6,100.1,blisters on hooves,loss of appetite,lameness,foot and mouth
goat,3,103.4,painless lumps,loss of appetite,depression,pneumonia
goat,3,101.4,fatigue,shortness of breath,chills,anthrax
goat,4,101.5,fatigue,shortness of breath,swelling in abdomen,anthrax
goat,5,102.5,painless lumps,depression,loss of appetite,lumpy virus
goat,8,102.4,loss of appetite,depression,painless lumps,pneumonia
goat,7,102.1,chest discomfort,sweats,chills,anthrax
goat,8,104.3,swelling in extremities,fatigue,chest discomfort,anthrax
goat,6,103.9,loss of appetite,painless lumps,depression,pneumonia
goat,5,102.3,loss of appetite,painless lumps,depression,lumpy virus
goat,7,100.4,painless lumps,loss of appetite,depression,pneumonia
goat,7,102.0,sweats,shortness of breath,chills,anthrax
goat,6,100.5,depression,painless lumps,loss of appetite,lumpy virus
goat,5,102.4,fatigue,chills,swelling in neck,anthrax
goat,6,102.0,fatigue,sweats,swelling in neck,anthrax
goat,8,100.4,swelling in neck,sweats,fatigue,anthrax
goat,9,103.8,sweats,chest discomfort,fatigue,anthrax
goat,1,100.8,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,6,104.2,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,10,100.3,swelling in limb,loss of appetite,lameness,blackleg
goat,5,102.2,depression,lameness,loss of appetite,blackleg
goat,8,104.3,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,1,102.0,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
goat,8,100.8,painless lumps,depression,loss of appetite,pneumonia
goat,7,102.8,painless lumps,depression,loss of appetite,lumpy virus
goat,9,102.1,depression,difficulty walking,crackling sound,blackleg
goat,2,103.9,lameness,sores on hooves,loss of appetite,foot and mouth
goat,1,103.6,sores on gums,loss of appetite,difficulty walking,foot and mouth
goat,8,100.2,depression,loss of appetite,painless lumps,lumpy virus
goat,3,102.0,loss of appetite,depression,swelling in muscle,blackleg
goat,8,101.5,chest discomfort,swelling in extremities,sweats,anthrax
goat,6,102.0,painless lumps,depression,loss of appetite,pneumonia
goat,9,103.8,depression,painless lumps,loss of appetite,pneumonia
goat,3,100.6,chills,shortness of breath,fatigue,anthrax
goat,5,101.9,swelling in muscle,crackling sound,difficulty walking,blackleg
goat,10,104.0,depression,difficulty walking,loss of appetite,blackleg
goat,8,101.9,painless lumps,depression,loss of appetite,pneumonia
goat,10,103.3,depression,loss of appetite,painless lumps,lumpy virus
goat,3,101.1,sores on gums,lameness,loss of appetite,foot and mouth
goat,2,101.8,painless lumps,loss of appetite,depression,pneumonia
goat,1,101.3,swelling in muscle,loss of appetite,lameness,blackleg
goat,6,104.9,loss of appetite,lameness,swelling in limb,blackleg
goat,10,104.4,fatigue,chills,chest discomfort,anthrax
goat,4,104.8,lameness,crackling sound,depression,blackleg
goat,10,104.2,loss of appetite,lameness,sores on tongue,foot and mouth
goat,5,102.6,painless lumps,loss of appetite,depression,lumpy virus
goat,10,101.3,crackling sound,swelling in muscle,difficulty walking,blackleg
goat,9,101.4,painless lumps,depression,loss of appetite,pneumonia
goat,8,104.7,depression,painless lumps,loss of appetite,pneumonia
goat,3,101.9,loss of appetite,painless lumps,depression,pneumonia
goat,6,100.2,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,5,100.6,swelling in limb,crackling sound,difficulty walking,blackleg
goat,10,100.4,lameness,blisters on mouth,loss of appetite,foot and mouth
goat,6,101.2,chills,chest discomfort,sweats,anthrax
goat,6,102.4,loss of appetite,painless lumps,depression,lumpy virus
goat,7,102.4,swelling in limb,loss of appetite,crackling sound,blackleg
goat,4,103.8,blisters on gums,difficulty walking,loss of appetite,foot and mouth
goat,7,104.2,depression,loss of appetite,painless lumps,lumpy virus
goat,3,101.0,depression,loss of appetite,painless lumps,pneumonia
goat,8,102.0,depression,painless lumps,loss of appetite,pneumonia
goat,4,104.8,sweats,shortness of breath,chest discomfort,anthrax
goat,3,101.3,depression,painless lumps,loss of appetite,lumpy virus
goat,6,100.4,shortness of breath,chest discomfort,fatigue,anthrax
goat,6,102.8,loss of appetite,lameness,blisters on tongue,foot and mouth
goat,1,103.8,depression,loss of appetite,painless lumps,pneumonia
goat,5,100.2,shortness of breath,sweats,chest discomfort,anthrax
goat,6,100.1,loss of appetite,painless lumps,depression,lumpy virus
goat,7,103.5,difficulty walking,loss of appetite,crackling sound,blackleg
goat,1,100.3,loss of appetite,depression,painless lumps,pneumonia
goat,4,102.7,depression,painless lumps,loss of appetite,lumpy virus
goat,10,101.3,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,2,102.3,painless lumps,loss of appetite,depression,pneumonia
goat,10,102.7,depression,painless lumps,loss of appetite,pneumonia
goat,3,100.6,lameness,sores on mouth,loss of appetite,foot and mouth
goat,3,103.0,chest discomfort,shortness of breath,chills,anthrax
goat,8,101.6,painless lumps,loss of appetite,depression,lumpy virus
goat,4,101.6,sores on hooves,loss of appetite,difficulty walking,foot and mouth
goat,1,104.1,sores on tongue,difficulty walking,loss of appetite,foot and mouth
goat,10,102.6,sores on mouth,loss of appetite,lameness,foot and mouth
goat,2,101.7,chills,chest discomfort,fatigue,anthrax
goat,2,100.3,chest discomfort,shortness of breath,chills,anthrax
goat,3,102.5,loss of appetite,depression,painless lumps,lumpy virus
goat,8,103.3,loss of appetite,blisters on hooves,lameness,foot and mouth
goat,4,102.5,shortness of breath,sweats,swelling in neck,anthrax
goat,2,102.8,swelling in muscle,loss of appetite,difficulty walking,blackleg
goat,10,100.0,painless lumps,depression,loss of appetite,pneumonia
goat,10,101.9,painless lumps,loss of appetite,depression,pneumonia
goat,10,100.9,loss of appetite,depression,crackling sound,blackleg
goat,10,102.1,depression,loss of appetite,swelling in muscle,blackleg
goat,10,100.3,loss of appetite,depression,painless lumps,pneumonia
goat,8,104.3,loss of appetite,depression,swelling in muscle,blackleg
goat,8,103.5,shortness of breath,chills,chest discomfort,anthrax
goat,8,100.9,depression,painless lumps,loss of appetite,pneumonia
goat,3,103.2,chills,shortness of breath,fatigue,anthrax
goat,7,102.8,loss of appetite,painless lumps,depression,lumpy virus
goat,2,101.7,depression,crackling sound,lameness,blackleg
goat,6,101.6,chills,sweats,swelling in neck,anthrax
goat,7,102.1,fatigue,sweats,swelling in neck,anthrax
goat,8,100.9,loss of appetite,lameness,sores on gums,foot and mouth
goat,9,100.8,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,7,103.0,painless lumps,depression,loss of appetite,lumpy virus
goat,6,103.7,loss of appetite,depression,painless lumps,lumpy virus
goat,5,101.7,loss of appetite,depression,painless lumps,pneumonia
goat,1,100.5,loss of appetite,painless lumps,depression,pneumonia
goat,2,101.7,chest discomfort,sweats,chills,anthrax
goat,3,102.1,loss of appetite,painless lumps,depression,lumpy virus
goat,3,101.5,crackling sound,loss of appetite,depression,blackleg
goat,10,102.6,swelling in extremities,shortness of breath,sweats,anthrax
goat,3,102.7,loss of appetite,painless lumps,depression,lumpy virus
goat,9,101.9,depression,painless lumps,loss of appetite,lumpy virus
goat,1,104.0,sweats,chest discomfort,chills,anthrax
goat,3,100.1,painless lumps,loss of appetite,depression,pneumonia
goat,3,100.1,swelling in muscle,crackling sound,loss of appetite,blackleg
goat,2,104.2,depression,painless lumps,loss of appetite,pneumonia
goat,5,100.1,difficulty walking,swelling in muscle,depression,blackleg
goat,1,102.8,painless lumps,depression,loss of appetite,pneumonia
goat,4,104.8,loss of appetite,depression,painless lumps,pneumonia
goat,1,100.3,lameness,loss of appetite,sores on tongue,foot and mouth
goat,10,100.9,loss of appetite,depression,painless lumps,lumpy virus
goat,8,101.3,painless lumps,depression,loss of appetite,lumpy virus
goat,6,105.0,difficulty walking,crackling sound,swelling in muscle,blackleg
goat,7,102.8,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,4,100.7,loss of appetite,painless lumps,depression,lumpy virus
goat,1,103.0,sores on mouth,difficulty walking,loss of appetite,foot and mouth
goat,1,104.8,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,10,102.4,chills,chest discomfort,fatigue,anthrax
goat,1,100.2,loss of appetite,depression,painless lumps,lumpy virus
goat,9,102.6,sores on hooves,loss of appetite,lameness,foot and mouth
goat,5,102.9,loss of appetite,painless lumps,depression,lumpy virus
goat,5,101.7,painless lumps,depression,loss of appetite,pneumonia
goat,3,104.2,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
goat,4,103.7,loss of appetite,depression,difficulty walking,blackleg
goat,5,100.6,lameness,depression,swelling in muscle,blackleg
goat,4,100.5,depression,painless lumps,loss of appetite,pneumonia
goat,6,102.7,depression,loss of appetite,painless lumps,lumpy virus
goat,9,104.6,swelling in limb,depression,loss of appetite,blackleg
goat,4,103.0,depression,difficulty walking,crackling sound,blackleg
goat,3,103.0,crackling sound,loss of appetite,lameness,blackleg
goat,6,102.7,swelling in muscle,crackling sound,depression,blackleg
goat,5,103.8,shortness of breath,chills,chest discomfort,anthrax
goat,1,101.1,depression,loss of appetite,difficulty walking,blackleg
goat,10,100.2,loss of appetite,painless lumps,depression,lumpy virus
goat,10,103.0,loss of appetite,painless lumps,depression,lumpy virus
goat,1,101.2,difficulty walking,loss of appetite,blisters on gums,foot and mouth
goat,8,101.4,chest discomfort,shortness of breath,fatigue,anthrax
goat,1,100.6,sores on hooves,lameness,loss of appetite,foot and mouth
goat,4,102.1,swelling in limb,crackling sound,difficulty walking,blackleg
goat,3,101.8,loss of appetite,swelling in limb,depression,blackleg
goat,8,105.0,depression,loss of appetite,painless lumps,lumpy virus
goat,5,104.8,depression,painless lumps,loss of appetite,pneumonia
goat,6,100.5,loss of appetite,depression,painless lumps,lumpy virus
goat,6,103.1,difficulty walking,loss of appetite,sores on gums,foot and mouth
goat,6,101.5,sweats,swelling in abdomen,shortness of breath,anthrax
goat,1,102.2,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,8,103.6,depression,painless lumps,loss of appetite,lumpy virus
goat,8,102.1,painless lumps,depression,loss of appetite,pneumonia
goat,5,102.2,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
goat,7,101.3,depression,crackling sound,loss of appetite,blackleg
goat,4,101.1,loss of appetite,depression,painless lumps,lumpy virus
goat,6,102.8,painless lumps,depression,loss of appetite,pneumonia
goat,3,101.8,shortness of breath,chest discomfort,swelling in extremities,anthrax
goat,5,103.2,loss of appetite,painless lumps,depression,pneumonia
goat,4,104.1,depression,painless lumps,loss of appetite,lumpy virus
goat,9,104.9,loss of appetite,depression,painless lumps,lumpy virus
goat,5,101.7,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,7,103.9,swelling in limb,lameness,loss of appetite,blackleg
goat,5,102.1,loss of appetite,difficulty walking,sores on hooves,foot and mouth
goat,2,103.6,loss of appetite,painless lumps,depression,pneumonia
goat,4,102.1,loss of appetite,depression,painless lumps,pneumonia
goat,3,104.7,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
goat,10,101.5,loss of appetite,depression,painless lumps,lumpy virus
goat,1,101.2,loss of appetite,painless lumps,depression,pneumonia
goat,7,102.5,sores on mouth,difficulty walking,loss of appetite,foot and mouth
goat,9,102.7,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,5,102.5,sweats,fatigue,swelling in neck,anthrax
goat,3,101.5,painless lumps,depression,loss of appetite,pneumonia
goat,9,100.5,depression,difficulty walking,crackling sound,blackleg
goat,3,104.3,chest discomfort,fatigue,sweats,anthrax
goat,10,100.5,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
goat,7,102.7,blisters on gums,loss of appetite,difficulty walking,foot and mouth
goat,10,101.9,swelling in neck,chills,shortness of breath,anthrax
goat,2,104.2,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,2,103.0,loss of appetite,sores on mouth,lameness,foot and mouth
goat,8,103.2,depression,painless lumps,loss of appetite,lumpy virus
goat,10,101.1,lameness,loss of appetite,sores on hooves,foot and mouth
goat,10,103.2,sweats,shortness of breath,chills,anthrax
goat,1,103.8,depression,painless lumps,loss of appetite,pneumonia
goat,6,103.3,crackling sound,loss of appetite,depression,blackleg
goat,2,101.4,painless lumps,depression,loss of appetite,lumpy virus
goat,5,100.9,painless lumps,loss of appetite,depression,lumpy virus
goat,5,104.3,sweats,chest discomfort,chills,anthrax
goat,6,104.2,loss of appetite,swelling in limb,crackling sound,blackleg
goat,9,100.9,depression,lameness,crackling sound,blackleg
goat,6,101.5,loss of appetite,painless lumps,depression,pneumonia
goat,5,104.0,loss of appetite,difficulty walking,swelling in muscle,blackleg
goat,9,102.4,painless lumps,loss of appetite,depression,lumpy virus
goat,3,102.4,lameness,loss of appetite,blisters on tongue,foot and mouth
goat,2,100.3,loss of appetite,depression,painless lumps,pneumonia
goat,7,100.9,depression,loss of appetite,painless lumps,lumpy virus
goat,1,100.5,depression,loss of appetite,painless lumps,pneumonia
goat,2,103.0,depression,loss of appetite,painless lumps,lumpy virus
goat,2,100.0,depression,loss of appetite,painless lumps,lumpy virus
goat,5,101.5,painless lumps,depression,loss of appetite,lumpy virus
goat,1,102.1,loss of appetite,depression,painless lumps,lumpy virus
goat,8,101.8,swelling in limb,depression,difficulty walking,blackleg
goat,8,102.2,painless lumps,loss of appetite,depression,pneumonia
goat,9,102.2,depression,loss of appetite,painless lumps,pneumonia
goat,6,101.5,chills,shortness of breath,sweats,anthrax
goat,2,102.3,sores on gums,difficulty walking,loss of appetite,foot and mouth
goat,10,101.6,chest discomfort,sweats,chills,anthrax
goat,8,103.1,loss of appetite,depression,painless lumps,pneumonia
goat,7,100.6,loss of appetite,blisters on gums,lameness,foot and mouth
goat,1,103.9,shortness of breath,chest discomfort,chills,anthrax
goat,10,102.5,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
goat,10,104.2,difficulty walking,loss of appetite,blisters on gums,foot and mouth
goat,1,101.8,depression,loss of appetite,painless lumps,pneumonia
goat,6,101.9,painless lumps,depression,loss of appetite,pneumonia
goat,4,103.2,depression,painless lumps,loss of appetite,pneumonia
goat,9,104.7,painless lumps,loss of appetite,depression,pneumonia
goat,4,102.3,sores on hooves,lameness,loss of appetite,foot and mouth
goat,2,104.7,depression,loss of appetite,painless lumps,pneumonia
goat,2,102.9,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,9,100.4,loss of appetite,difficulty walking,sores on gums,foot and mouth
goat,1,101.5,loss of appetite,painless lumps,depression,lumpy virus
goat,3,104.8,painless lumps,depression,loss of appetite,pneumonia
goat,6,100.8,blisters on gums,loss of appetite,lameness,foot and mouth
goat,10,102.7,swelling in extremities,chills,sweats,anthrax
goat,2,104.6,difficulty walking,crackling sound,swelling in limb,blackleg
goat,3,103.0,loss of appetite,lameness,blisters on hooves,foot and mouth
goat,6,100.0,depression,painless lumps,loss of appetite,lumpy virus
goat,2,101.6,loss of appetite,depression,painless lumps,pneumonia
goat,10,101.8,shortness of breath,swelling in extremities,chills,anthrax
goat,7,100.8,difficulty walking,swelling in muscle,depression,blackleg
goat,6,103.3,depression,loss of appetite,painless lumps,pneumonia
goat,2,103.4,loss of appetite,sores on gums,lameness,foot and mouth
goat,6,101.3,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,9,104.5,depression,loss of appetite,painless lumps,lumpy virus
goat,8,103.6,loss of appetite,lameness,sores on tongue,foot and mouth
goat,5,102.0,depression,crackling sound,lameness,blackleg
goat,2,100.2,loss of appetite,depression,painless lumps,lumpy virus
goat,9,103.1,depression,loss of appetite,painless lumps,pneumonia
goat,4,100.9,sweats,swelling in neck,chills,anthrax
goat,9,100.2,loss of appetite,lameness,sores on gums,foot and mouth
goat,9,100.2,depression,loss of appetite,painless lumps,lumpy virus
goat,6,102.5,swelling in abdomen,sweats,shortness of breath,anthrax
goat,1,101.1,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,10,100.3,painless lumps,loss of appetite,depression,lumpy virus
goat,5,102.8,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,1,100.8,lameness,blisters on tongue,loss of appetite,foot and mouth
goat,8,104.4,shortness of breath,chest discomfort,fatigue,anthrax
goat,8,101.7,fatigue,swelling in neck,chills,anthrax
goat,1,101.3,sores on hooves,loss of appetite,difficulty walking,foot and mouth
goat,4,104.8,loss of appetite,painless lumps,depression,lumpy virus
goat,2,102.0,painless lumps,loss of appetite,depression,lumpy virus
goat,8,100.7,sores on hooves,loss of appetite,difficulty walking,foot and mouth
goat,7,103.6,loss of appetite,swelling in muscle,lameness,blackleg
goat,3,104.2,depression,loss of appetite,painless lumps,lumpy virus
goat,7,104.6,swelling in extremities,chest discomfort,chills,anthrax
goat,3,100.9,depression,painless lumps,loss of appetite,pneumonia
goat,5,100.8,shortness of breath,chills,swelling in extremities,anthrax
goat,9,101.0,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,9,103.7,lameness,swelling in limb,crackling sound,blackleg
goat,8,103.8,depression,loss of appetite,painless lumps,lumpy virus
goat,4,104.6,loss of appetite,painless lumps,depression,lumpy virus
goat,10,100.7,fatigue,chills,swelling in abdomen,anthrax
goat,4,101.4,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,5,103.0,sweats,chills,swelling in neck,anthrax
goat,2,100.4,depression,loss of appetite,painless lumps,pneumonia
goat,6,100.8,swelling in extremities,chills,shortness of breath,anthrax
goat,9,100.3,loss of appetite,painless lumps,depression,lumpy virus
goat,10,102.4,loss of appetite,depression,painless lumps,pneumonia
goat,5,104.5,sores on tongue,difficulty walking,loss of appetite,foot and mouth
goat,8,102.4,loss of appetite,lameness,sores on tongue,foot and mouth
goat,4,103.7,loss of appetite,painless lumps,depression,pneumonia
goat,7,103.7,shortness of breath,swelling in extremities,chills,anthrax
goat,10,102.7,loss of appetite,painless lumps,depression,lumpy virus
goat,3,101.3,swelling in muscle,loss of appetite,difficulty walking,blackleg
goat,7,101.6,sweats,chest discomfort,fatigue,anthrax
goat,2,101.2,swelling in neck,fatigue,chest discomfort,anthrax
goat,7,101.3,swelling in neck,shortness of breath,sweats,anthrax
goat,1,102.4,blisters on gums,loss of appetite,lameness,foot and mouth
goat,3,104.8,loss of appetite,painless lumps,depression,lumpy virus
goat,9,100.0,difficulty walking,loss of appetite,sores on hooves,foot and mouth
goat,4,102.4,blisters on gums,lameness,loss of appetite,foot and mouth
goat,7,102.1,sweats,chest discomfort,swelling in abdomen,anthrax
goat,4,101.8,crackling sound,swelling in muscle,depression,blackleg
goat,1,102.4,chills,chest discomfort,sweats,anthrax
goat,8,103.5,chills,shortness of breath,sweats,anthrax
goat,9,100.5,sores on hooves,loss of appetite,difficulty walking,foot and mouth
goat,2,102.9,painless lumps,depression,loss of appetite,pneumonia
goat,5,104.4,difficulty walking,swelling in muscle,loss of appetite,blackleg
goat,6,102.4,swelling in abdomen,shortness of breath,sweats,anthrax
goat,1,104.8,swelling in neck,shortness of breath,sweats,anthrax
goat,4,102.3,loss of appetite,sores on hooves,lameness,foot and mouth
goat,10,100.7,chest discomfort,fatigue,swelling in abdomen,anthrax
goat,1,103.5,swelling in limb,depression,lameness,blackleg
goat,5,102.7,swelling in abdomen,sweats,chest discomfort,anthrax
goat,4,103.8,loss of appetite,depression,painless lumps,lumpy virus
goat,3,104.6,loss of appetite,depression,painless lumps,pneumonia
goat,9,102.0,loss of appetite,painless lumps,depression,pneumonia
goat,7,103.6,painless lumps,depression,loss of appetite,lumpy virus
goat,8,104.6,painless lumps,loss of appetite,depression,pneumonia
goat,6,102.6,shortness of breath,swelling in extremities,chills,anthrax
goat,4,102.5,painless lumps,depression,loss of appetite,pneumonia
goat,10,100.9,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,8,100.6,shortness of breath,fatigue,swelling in neck,anthrax
goat,2,102.0,loss of appetite,depression,crackling sound,blackleg
goat,7,101.6,loss of appetite,depression,painless lumps,lumpy virus
goat,1,104.6,loss of appetite,depression,painless lumps,pneumonia
goat,4,102.0,depression,loss of appetite,painless lumps,pneumonia
goat,5,100.8,depression,loss of appetite,painless lumps,lumpy virus
goat,7,104.0,loss of appetite,painless lumps,depression,pneumonia
goat,8,101.5,loss of appetite,crackling sound,depression,blackleg
goat,4,101.1,crackling sound,lameness,swelling in muscle,blackleg
goat,7,103.3,painless lumps,depression,loss of appetite,pneumonia
goat,4,102.9,depression,loss of appetite,painless lumps,pneumonia
goat,3,102.5,sores on hooves,loss of appetite,difficulty walking,foot and mouth
goat,9,103.9,loss of appetite,depression,painless lumps,pneumonia
goat,8,100.5,chills,sweats,chest discomfort,anthrax
goat,4,104.8,painless lumps,loss of appetite,depression,pneumonia
goat,4,102.3,loss of appetite,painless lumps,depression,lumpy virus
goat,7,101.0,chills,sweats,fatigue,anthrax
goat,5,104.7,loss of appetite,painless lumps,depression,pneumonia
goat,4,101.7,crackling sound,lameness,loss of appetite,blackleg
goat,1,100.8,loss of appetite,blisters on mouth,lameness,foot and mouth
goat,1,104.6,depression,painless lumps,loss of appetite,lumpy virus
goat,5,101.7,loss of appetite,depression,painless lumps,lumpy virus
goat,1,103.7,loss of appetite,depression,painless lumps,pneumonia
goat,10,103.0,swelling in extremities,shortness of breath,fatigue,anthrax
goat,6,102.8,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,7,102.0,depression,crackling sound,lameness,blackleg
goat,3,101.1,loss of appetite,lameness,sores on hooves,foot and mouth
goat,4,100.0,lameness,sores on tongue,loss of appetite,foot and mouth
goat,9,102.6,crackling sound,depression,swelling in muscle,blackleg
goat,6,100.3,chills,sweats,fatigue,anthrax
goat,4,100.7,difficulty walking,swelling in limb,loss of appetite,blackleg
goat,1,104.4,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,9,101.0,loss of appetite,swelling in muscle,crackling sound,blackleg
goat,1,104.1,lameness,loss of appetite,blisters on gums,foot and mouth
goat,2,100.2,loss of appetite,lameness,sores on tongue,foot and mouth
goat,3,104.7,chills,fatigue,shortness of breath,anthrax
goat,9,102.8,loss of appetite,depression,painless lumps,lumpy virus
goat,5,101.3,painless lumps,loss of appetite,depression,lumpy virus
goat,7,102.8,swelling in abdomen,fatigue,chills,anthrax
goat,9,104.3,painless lumps,loss of appetite,depression,lumpy virus
goat,6,104.0,depression,loss of appetite,painless lumps,pneumonia
goat,5,101.3,crackling sound,loss of appetite,depression,blackleg
goat,9,102.4,lameness,blisters on hooves,loss of appetite,foot and mouth
goat,6,103.6,lameness,blisters on mouth,loss of appetite,foot and mouth
goat,7,101.9,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
goat,8,104.6,depression,painless lumps,loss of appetite,lumpy virus
goat,8,100.4,loss of appetite,crackling sound,lameness,blackleg
goat,3,101.0,lameness,depression,crackling sound,blackleg
goat,7,101.8,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
goat,7,101.3,chest discomfort,swelling in abdomen,shortness of breath,anthrax
goat,1,103.6,depression,painless lumps,loss of appetite,pneumonia
goat,9,101.0,loss of appetite,sores on mouth,difficulty walking,foot and mouth
goat,3,101.5,depression,loss of appetite,painless lumps,lumpy virus
goat,9,100.7,chest discomfort,chills,shortness of breath,anthrax
goat,1,100.4,loss of appetite,lameness,sores on hooves,foot and mouth
goat,6,102.3,loss of appetite,depression,painless lumps,lumpy virus
goat,6,102.6,painless lumps,loss of appetite,depression,pneumonia
goat,9,104.6,difficulty walking,blisters on gums,loss of appetite,foot and mouth
goat,9,103.1,swelling in muscle,depression,crackling sound,blackleg
goat,7,100.4,loss of appetite,crackling sound,swelling in muscle,blackleg
goat,10,101.4,painless lumps,loss of appetite,depression,pneumonia
goat,2,101.3,swelling in limb,depression,loss of appetite,blackleg
goat,1,100.7,painless lumps,depression,loss of appetite,lumpy virus
goat,7,101.8,chest discomfort,chills,swelling in extremities,anthrax
goat,6,103.9,depression,loss of appetite,painless lumps,lumpy virus
goat,2,101.4,loss of appetite,difficulty walking,sores on tongue,foot and mouth
goat,4,104.1,depression,loss of appetite,painless lumps,pneumonia
goat,5,101.9,fatigue,shortness of breath,swelling in extremities,anthrax
goat,7,102.6,loss of appetite,lameness,blisters on hooves,foot and mouth
goat,8,100.9,sweats,chills,swelling in extremities,anthrax
goat,2,101.5,painless lumps,loss of appetite,depression,lumpy virus
goat,9,101.3,loss of appetite,depression,swelling in limb,blackleg
goat,1,102.3,painless lumps,depression,loss of appetite,pneumonia
goat,7,103.6,loss of appetite,depression,painless lumps,lumpy virus
goat,3,102.6,depression,swelling in limb,crackling sound,blackleg
goat,8,104.2,swelling in muscle,loss of appetite,difficulty walking,blackleg
goat,10,102.2,painless lumps,loss of appetite,depression,pneumonia
goat,9,104.3,swelling in abdomen,sweats,shortness of breath,anthrax
goat,2,104.6,difficulty walking,depression,swelling in limb,blackleg
goat,6,104.3,loss of appetite,painless lumps,depression,pneumonia
goat,4,102.6,depression,painless lumps,loss of appetite,pneumonia
goat,4,101.4,depression,loss of appetite,painless lumps,pneumonia
goat,4,101.3,lameness,crackling sound,swelling in limb,blackleg
goat,7,103.9,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,2,101.9,loss of appetite,depression,painless lumps,pneumonia
goat,3,101.9,lameness,swelling in limb,crackling sound,blackleg
goat,8,102.5,shortness of breath,chills,swelling in extremities,anthrax
goat,3,103.4,difficulty walking,loss of appetite,sores on tongue,foot and mouth
